rep_id,region,drug,year,month,date,actual_sales,quota,quota_attainment_pct,calls_made,conversion_rate_pct,rep_experience_years
REP_001,North,CardioMax,2022,1,2022-01-01,101439.47,130000,78.03,48,52.88,5
REP_001,North,CardioMax,2022,1,2022-01-31,109676.4,130000,84.37,40,50.46,5
REP_001,North,CardioMax,2022,3,2022-03-02,107076.21,130000,82.37,30,32.3,5
REP_001,North,CardioMax,2022,4,2022-04-01,116529.21,130000,89.64,55,15.22,5
REP_001,North,CardioMax,2022,5,2022-05-01,130024.05,130000,100.02,34,48.47,5
REP_001,North,CardioMax,2022,5,2022-05-31,134923.94,130000,103.79,39,65.71,5
REP_001,North,CardioMax,2022,6,2022-06-30,120460.25,130000,92.66,50,7.48,5
REP_001,North,CardioMax,2022,7,2022-07-30,120129.74,130000,92.41,49,50.89,5
REP_001,North,CardioMax,2022,8,2022-08-29,96435.93,130000,74.18,40,64.33,5
REP_001,North,CardioMax,2022,9,2022-09-28,127722.89,130000,98.25,38,38.26,5
REP_001,North,CardioMax,2022,10,2022-10-28,140795.01,130000,108.3,37,50.53,5
REP_001,North,CardioMax,2022,11,2022-11-27,140165.56,130000,107.82,35,14.34,5
REP_001,North,CardioMax,2022,12,2022-12-27,141459.79,130000,108.82,46,16.43,5
REP_001,North,CardioMax,2023,1,2023-01-26,104855.66,130000,80.66,23,65.34,5
REP_001,North,CardioMax,2023,2,2023-02-25,113784.7,130000,87.53,42,50.66,5
REP_001,North,CardioMax,2023,3,2023-03-27,120441.42,130000,92.65,37,24.48,5
REP_001,North,CardioMax,2023,4,2023-04-26,132882.28,130000,102.22,39,29.93,5
REP_001,North,CardioMax,2023,5,2023-05-26,128087.14,130000,98.53,38,21.02,5
REP_001,North,CardioMax,2023,6,2023-06-25,118044.12,130000,90.8,43,36.92,5
REP_001,North,CardioMax,2023,7,2023-07-25,108622.44,130000,83.56,42,53.38,5
REP_001,North,CardioMax,2023,8,2023-08-24,119114.95,130000,91.63,28,34.54,5
REP_001,North,CardioMax,2023,9,2023-09-23,122700.49,130000,94.38,42,36.61,5
REP_001,North,CardioMax,2023,10,2023-10-23,132489.09,130000,101.91,52,56.26,5
REP_001,North,CardioMax,2023,11,2023-11-22,142756.26,130000,109.81,48,68.52,5
REP_001,North,DiabeCure,2022,1,2022-01-01,86331.31,100000,86.33,44,28.73,5
REP_001,North,DiabeCure,2022,1,2022-01-31,79016.15,100000,79.02,35,36.09,5
REP_001,North,DiabeCure,2022,3,2022-03-02,89610.2,100000,89.61,37,35.16,5
REP_001,North,DiabeCure,2022,4,2022-04-01,101097.41,100000,101.1,45,57.27,5
REP_001,North,DiabeCure,2022,5,2022-05-01,98727.81,100000,98.73,45,33.7,5
REP_001,North,DiabeCure,2022,5,2022-05-31,94090.92,100000,94.09,45,38.4,5
REP_001,North,DiabeCure,2022,6,2022-06-30,101060.3,100000,101.06,46,24.36,5
REP_001,North,DiabeCure,2022,7,2022-07-30,80293.01,100000,80.29,34,54.33,5
REP_001,North,DiabeCure,2022,8,2022-08-29,79066.96,100000,79.07,51,52.49,5
REP_001,North,DiabeCure,2022,9,2022-09-28,101194.13,100000,101.19,36,18.11,5
REP_001,North,DiabeCure,2022,10,2022-10-28,103181.37,100000,103.18,43,71.97,5
REP_001,North,DiabeCure,2022,11,2022-11-27,102784.34,100000,102.78,35,44.18,5
REP_001,North,DiabeCure,2022,12,2022-12-27,115397.14,100000,115.4,37,22.54,5
REP_001,North,DiabeCure,2023,1,2023-01-26,78179.3,100000,78.18,45,38.88,5
REP_001,North,DiabeCure,2023,2,2023-02-25,79199.23,100000,79.2,44,14.68,5
REP_001,North,DiabeCure,2023,3,2023-03-27,97395.38,100000,97.4,33,20.47,5
REP_001,North,DiabeCure,2023,4,2023-04-26,99061.31,100000,99.06,47,43.15,5
REP_001,North,DiabeCure,2023,5,2023-05-26,92089.56,100000,92.09,32,48.73,5
REP_001,North,DiabeCure,2023,6,2023-06-25,83457.54,100000,83.46,46,29.31,5
REP_001,North,DiabeCure,2023,7,2023-07-25,82281.99,100000,82.28,41,55.0,5
REP_001,North,DiabeCure,2023,8,2023-08-24,100219.93,100000,100.22,58,45.14,5
REP_001,North,DiabeCure,2023,9,2023-09-23,107520.05,100000,107.52,38,50.74,5
REP_001,North,DiabeCure,2023,10,2023-10-23,99271.7,100000,99.27,56,34.55,5
REP_001,North,DiabeCure,2023,11,2023-11-22,109851.79,100000,109.85,53,26.26,5
REP_001,North,NeuroShield,2022,1,2022-01-01,60744.57,80000,75.93,33,18.43,5
REP_001,North,NeuroShield,2022,1,2022-01-31,58216.19,80000,72.77,43,18.39,5
REP_001,North,NeuroShield,2022,3,2022-03-02,70907.8,80000,88.63,40,18.73,5
REP_001,North,NeuroShield,2022,4,2022-04-01,75734.4,80000,94.67,44,43.57,5
REP_001,North,NeuroShield,2022,5,2022-05-01,75677.39,80000,94.6,60,44.72,5
REP_001,North,NeuroShield,2022,5,2022-05-31,76389.85,80000,95.49,45,53.72,5
REP_001,North,NeuroShield,2022,6,2022-06-30,72036.26,80000,90.05,41,34.39,5
REP_001,North,NeuroShield,2022,7,2022-07-30,66237.15,80000,82.8,50,52.37,5
REP_001,North,NeuroShield,2022,8,2022-08-29,59302.69,80000,74.13,34,18.01,5
REP_001,North,NeuroShield,2022,9,2022-09-28,87678.94,80000,109.6,40,27.73,5
REP_001,North,NeuroShield,2022,10,2022-10-28,79814.31,80000,99.77,51,24.99,5
REP_001,North,NeuroShield,2022,11,2022-11-27,79798.85,80000,99.75,39,49.07,5
REP_001,North,NeuroShield,2022,12,2022-12-27,93919.77,80000,117.4,34,39.45,5
REP_001,North,NeuroShield,2023,1,2023-01-26,60886.16,80000,76.11,43,4.8,5
REP_001,North,NeuroShield,2023,2,2023-02-25,69126.71,80000,86.41,54,27.9,5
REP_001,North,NeuroShield,2023,3,2023-03-27,77332.62,80000,96.67,40,16.96,5
REP_001,North,NeuroShield,2023,4,2023-04-26,65868.52,80000,82.34,56,31.72,5
REP_001,North,NeuroShield,2023,5,2023-05-26,86119.39,80000,107.65,49,41.89,5
REP_001,North,NeuroShield,2023,6,2023-06-25,73507.38,80000,91.88,47,27.74,5
REP_001,North,NeuroShield,2023,7,2023-07-25,71588.74,80000,89.49,44,59.72,5
REP_001,North,NeuroShield,2023,8,2023-08-24,73481.02,80000,91.85,57,25.61,5
REP_001,North,NeuroShield,2023,9,2023-09-23,78209.51,80000,97.76,33,74.1,5
REP_001,North,NeuroShield,2023,10,2023-10-23,84950.62,80000,106.19,36,35.16,5
REP_001,North,NeuroShield,2023,11,2023-11-22,89750.16,80000,112.19,53,26.61,5
REP_001,North,OncoPrime,2022,1,2022-01-01,157604.5,210000,75.05,42,53.88,5
REP_001,North,OncoPrime,2022,1,2022-01-31,170055.02,210000,80.98,43,40.16,5
REP_001,North,OncoPrime,2022,3,2022-03-02,169444.38,210000,80.69,44,32.55,5
REP_001,North,OncoPrime,2022,4,2022-04-01,226965.44,210000,108.08,46,24.4,5
REP_001,North,OncoPrime,2022,5,2022-05-01,233786.92,210000,111.33,59,70.33,5
REP_001,North,OncoPrime,2022,5,2022-05-31,206914.64,210000,98.53,48,59.3,5
REP_001,North,OncoPrime,2022,6,2022-06-30,196032.23,210000,93.35,52,9.04,5
REP_001,North,OncoPrime,2022,7,2022-07-30,183004.19,210000,87.14,55,27.81,5
REP_001,North,OncoPrime,2022,8,2022-08-29,184944.75,210000,88.07,30,35.26,5
